dim,seed,true_val,NSE_diff,NSE_grad,Langevin,HMC,CF,NCV,Epochs,n_samples
1,7,0.0,0.2232825309038162,0.0431940220296382,-0.11166362,-0.10391439,0.0875750333070755,0.1606440246105194,1000,300
1,13,0.0,-0.0953999161720275,-0.1486009955406189,-0.032752976,0.15301359,0.1946058124303817,-0.1330438256263733,1000,300
1,23,0.0,-0.0614361204206943,0.0943209156394004,0.15270172,-0.16992605,0.1341847479343414,-0.2746161818504333,1000,300
1,42,0.0,0.0014642493333667,-0.0204091649502515,-0.08384167,-0.20809051,0.118111178278923,-0.0152770113199949,1000,300
1,169,0.0,-0.0941432118415832,0.1041308864951133,0.16959526,-0.085269235,-0.1959702670574188,0.415873259305954,1000,300
2,7,0.0,0.1288443654775619,-0.1602848619222641,0.13689686,-0.52055126,-0.1948899328708648,0.3237021267414093,1000,300
2,13,0.0,0.2097892016172409,-0.043495088815689,0.6378821,0.19384164,-0.0521347820758819,-0.0420900918543338,1000,300
2,23,0.0,-0.1567593067884445,0.0328876487910747,-0.13230969,-0.2070648,-1.222144365310669,0.1822493225336074,1000,300
2,42,0.0,0.0463759563863277,-0.2565330564975738,-0.3340933,-0.20071246,-0.3487016260623932,-0.2383383214473724,1000,300
2,169,0.0,-0.2483872473239898,0.0198989994823932,0.075442925,-0.0065085897,-0.2275887131690979,0.0271249655634164,1000,300
3,7,0.0,0.3126366734504699,-0.0132786883041262,0.15072943,-0.50530237,5.612685203552246,1.098463773727417,1000,300
3,13,0.0,0.0144340833649039,0.0621809922158718,-0.17494163,-0.5982723,-1.183087944984436,0.0417666435241699,1000,300
3,23,0.0,-0.2600357234477997,0.1232963725924491,-0.3444543,0.5377726,0.7362039089202881,-1.228306770324707,1000,300
3,42,0.0,0.1282768249511718,-0.1749435514211654,0.06266382,0.08743884,-3.0694730281829834,0.4769760370254516,1000,300
3,169,0.0,-0.0194314904510974,-0.3300140500068664,-0.12021467,1.3655205,0.0844407752156257,-0.3183564841747284,1000,300
5,7,0.0,0.1663751751184463,0.3060915470123291,-0.92683023,-0.5560392,0.4854132235050201,0.4426608979701996,1000,300
5,13,0.0,-0.2644250392913818,0.2686308920383453,-0.29272527,0.014292396,-1.3910181522369385,0.5469545722007751,1000,300
5,23,0.0,-0.049428716301918,0.2293853312730789,-0.58184963,0.42399773,-0.4400571882724762,-0.8412643074989319,1000,300
5,42,0.0,-0.4126951694488525,-0.2948063611984253,1.7997429,-0.9050474,1.4205584526062012,-0.6477804183959961,1000,300
5,169,0.0,-0.5384987592697144,-0.1218677535653114,-0.80694944,-0.23258187,2.7389535903930664,0.9697670936584472,1000,300
10,7,0.0,-0.9400028586387634,0.0695137307047844,-1.1126498,-3.1995964,0.383868008852005,0.3596160411834717,2000,300
10,13,0.0,-0.32344451546669,0.1276802122592926,-2.303441,0.07439133,1.162147045135498,-0.2264772802591323,2000,300
10,23,0.0,-0.3526956737041473,-0.4032725393772125,-0.7989612,0.41626316,0.984489381313324,-1.7291423082351685,2000,300
10,42,0.0,-0.3267227113246918,0.1166523993015289,-1.8985411,-3.4869199,-0.2675769329071045,1.0838245153427124,2000,300
10,169,0.0,0.4700135886669159,-0.1682654023170471,-0.3637067,-4.1406426,-0.2517516016960144,-0.022669805213809,2000,300
20,7,0.0,-0.1301208287477493,-0.2840263545513153,1.5237266,6.4873705,-1.2280681133270264,-0.3837471604347229,3000,300
20,13,0.0,-0.1975269913673401,0.1456148624420166,0.092898875,4.1213136,-1.051946043968201,-2.3836612701416016,3000,300
20,23,0.0,1.035025715827942,0.8657888770103455,-0.68769455,-0.60700375,-0.6713442802429199,3.20263934135437,3000,300
20,42,0.0,0.7778093814849854,-0.5421522259712219,-0.7257869,0.57575667,1.7931584119796753,0.0917179137468338,3000,300
20,169,0.0,-0.9075531959533693,-0.5277988910675049,-4.013433,1.7220378,0.8136982917785645,-0.2506904006004333,3000,300
30,7,0.0,0.1788539141416549,0.0714451670646667,3.6119375,-4.922108,1.660771727561951,-0.050703939050436,4000,300
30,13,0.0,-0.0542773976922035,0.3619235157966614,-2.272683,-0.03498861,-0.5125192403793335,-0.1488056480884552,4000,300
30,23,0.0,0.2761832177639007,0.3824046552181244,-3.40999,-8.226028,-1.128612756729126,0.6698989272117615,4000,300
30,42,0.0,0.9302085638046264,-0.1443097740411758,-2.3427966,7.0027466,1.4484658241271973,-1.7080235481262207,4000,300
30,169,0.0,0.2736485302448272,0.4123673439025879,-1.2228386,6.1205564,2.3977935314178467,-0.7399870157241821,4000,300
