dim,seed,true_val,stein_est_diff,stein_est_grad,Langevin,HMC,CF,CF_on,NCV,NCV_on
3,17,42.0,44.63702392578125,42.06023025512695,42.43091,41.81968,45.353271484375,41.49165344238281,93.1877212524414,42.0196418762207
1,42,14.0,13.949126243591309,13.997864723205566,14.4147215,13.493483,13.942656517028809,13.915874481201172,25.033483505249023,13.983587265014648
10,17,140.0,146.46209716796875,134.8003387451172,139.88776,140.38841,318.163818359375,136.3765106201172,332.6994323730469,139.89295959472656
15,13,210.0,444.4374694824219,214.5128631591797,211.2152,209.72195,485.9058227539063,206.90521240234372,499.6276245117188,210.0625915527344
1,13,14.0,14.000953674316406,13.999829292297363,14.211188,14.482293,13.970020294189451,13.938920021057127,26.237668991088867,13.996224403381348
10,13,140.0,157.9789581298828,135.4415283203125,140.61546,140.31038,309.2420654296875,136.0419921875,321.2719116210937,139.8562774658203
5,42,70.0,71.53086853027344,70.0977783203125,70.112854,70.15441,146.994140625,67.77152252197266,161.2015838623047,69.97830200195312
5,23,70.0,72.49040985107422,69.5052490234375,70.49631,71.01087,149.4711456298828,67.48955535888672,159.83587646484375,69.95219421386719
2,13,28.0,27.96166610717773,27.977951049804688,28.342823,28.601961,28.06352424621582,27.82419204711914,59.11268997192383,27.98360061645508
15,17,210.0,434.1697082519531,214.7220764160156,209.89877,209.5625,486.3204040527344,205.0477294921875,499.0899658203125,209.7488250732422
3,23,42.0,43.4821662902832,41.97610092163086,42.347694,43.394676,46.99313354492188,41.61932373046875,90.81504821777344,41.93851852416992
5,17,70.0,69.95185089111328,69.68729400634766,70.12974,70.283615,145.29421997070312,67.59851837158203,162.84591674804688,69.9049072265625
2,17,28.0,27.97344970703125,27.99214172363281,27.985027,27.53642,27.95033073425293,27.89518547058105,57.98634338378906,27.992197036743164
1,17,14.0,13.9682035446167,13.998682022094728,14.0254345,13.994495,13.909146308898926,13.978714942932127,26.599348068237305,14.000957489013672
3,13,42.0,41.87177658081055,41.83732986450195,42.596973,42.699932,46.88411331176758,41.63370895385742,96.42361450195312,41.99976348876953
1,23,14.0,14.007245063781738,13.997861862182615,14.158555,13.931705,13.993555068969728,13.995075225830078,25.067604064941406,13.998647689819336
10,23,140.0,143.65538024902344,133.16627502441406,140.90756,141.69319,317.31365966796875,135.76332092285156,330.6481018066406,139.93348693847656
15,23,210.0,364.770263671875,213.2640686035156,210.8539,210.1369,482.6787109375,205.277587890625,497.0114440917969,209.56773376464844
10,42,140.0,136.15447998046875,136.02859497070312,140.28343,139.4122,317.6468811035156,137.62998962402344,326.37457275390625,140.07562255859375
2,42,28.0,27.98904800415039,28.00864791870117,28.049664,28.006557,27.99802017211914,27.89076232910156,58.031925201416016,27.98977851867676
5,13,70.0,70.83609771728516,69.34107208251953,70.385086,70.32429,144.61166381835938,67.68851470947266,165.7130584716797,69.91383361816406
2,23,28.0,28.009923934936523,27.9915828704834,28.366774,28.664694,27.991962432861328,27.881393432617188,59.01399612426758,27.97171401977539
3,42,42.0,41.931278228759766,41.9523811340332,42.168888,42.5584,43.64988327026367,41.52959060668945,89.07331848144531,41.942020416259766
15,42,210.0,460.3435668945313,198.5742950439453,210.38196,209.08984,476.83990478515625,207.63417053222656,497.2547607421875,209.99957275390625
