dim,seed,true_val,NSE_diff,NSE_grad,CF,NCV,Epochs,n_samples,used_mean
5,13,70.0,69.15289306640625,69.8587875366211,49.53501510620117,66.17037963867188,1500,500,1.0
5,13,70.0,69.94548797607422,69.96659851074219,60.02093124389648,69.7776870727539,1500,500,2.0
5,13,70.0,69.93230438232422,69.72346496582031,67.4591293334961,69.7834701538086,1500,500,3.0
5,13,70.0,68.3050308227539,69.7359848022461,81.12513732910156,69.60424041748047,1500,500,4.0
5,13,70.0,68.0165786743164,62.950321197509766,109.01100158691406,71.1173324584961,1500,500,5.0
5,13,70.0,64.86270141601562,54.61103439331055,159.80294799804688,74.14099884033203,1500,500,6.0
5,13,70.0,73.35384368896484,57.20425415039063,170.6213836669922,73.2171630859375,1500,500,7.0
5,13,70.0,76.34416198730469,66.30467224121094,237.75323486328125,76.57184600830078,1500,500,8.0
5,13,70.0,67.94274139404297,74.29627990722656,346.5987854003906,81.47193908691406,1500,500,9.0
5,13,70.0,70.30787658691406,100.69178771972656,425.59271240234375,88.14085388183594,1500,500,10.0
5,17,70.0,69.26460266113281,69.86106872558594,49.02646255493164,66.25943756103516,1500,500,1.0
5,17,70.0,69.92635345458984,69.96703338623047,57.8115119934082,69.78681945800781,1500,500,2.0
5,17,70.0,69.90694427490234,69.92174530029297,66.79649353027344,69.72042083740234,1500,500,3.0
5,17,70.0,70.16358184814453,69.87853240966797,81.55939483642578,70.35015869140625,1500,500,4.0
5,17,70.0,67.15626525878906,54.84939956665039,116.86361694335938,70.8640365600586,1500,500,5.0
5,17,70.0,58.61226272583008,54.48067855834961,165.4183807373047,72.519287109375,1500,500,6.0
5,17,70.0,66.8471908569336,59.68590927124024,142.59674072265625,71.5654067993164,1500,500,7.0
5,17,70.0,61.6724739074707,65.07952117919922,235.2382354736328,77.41383361816406,1500,500,8.0
5,17,70.0,74.11865997314453,75.63164520263672,328.8951110839844,80.57881927490234,1500,500,9.0
5,17,70.0,92.44461059570312,80.84703826904297,431.0132751464844,84.23629760742188,1500,500,10.0
5,23,70.0,69.30762481689453,69.96994018554688,50.21524429321289,66.63288116455078,1500,500,1.0
5,23,70.0,69.71843719482422,69.96873474121094,59.03254318237305,69.81553649902344,1500,500,2.0
5,23,70.0,69.98861694335938,69.88826751708984,65.78295135498047,69.72908020019531,1500,500,3.0
5,23,70.0,70.0516128540039,69.80171966552734,81.31781768798828,69.79862976074219,1500,500,4.0
5,23,70.0,62.24649429321289,57.83811950683594,108.273193359375,69.95856475830078,1500,500,5.0
5,23,70.0,59.9896354675293,55.16153335571289,158.5770721435547,77.35441589355469,1500,500,6.0
5,23,70.0,73.4421157836914,59.060543060302734,156.88462829589844,74.59513092041016,1500,500,7.0
5,23,70.0,61.16796112060547,61.89558792114258,229.70460510253903,91.15312957763672,1500,500,8.0
5,23,70.0,77.04657745361328,74.38388061523438,331.7415771484375,80.7236099243164,1500,500,9.0
5,23,70.0,83.58478546142578,81.99628448486328,457.193115234375,86.9267578125,1500,500,10.0
5,42,70.0,69.08914184570312,69.7889404296875,48.511531829833984,65.04240417480469,1500,500,1.0
5,42,70.0,70.07029724121094,69.97396850585938,58.0742073059082,69.79264068603516,1500,500,2.0
5,42,70.0,69.95328521728516,69.92228698730469,67.08207702636719,69.83644104003906,1500,500,3.0
5,42,70.0,68.96084594726562,69.77753448486328,80.40141296386719,69.05131530761719,1500,500,4.0
5,42,70.0,59.28598403930664,63.55045318603516,115.786376953125,70.91194915771484,1500,500,5.0
5,42,70.0,61.65278625488281,51.91572952270508,163.69802856445312,72.34288024902344,1500,500,6.0
5,42,70.0,65.5308609008789,60.37621688842773,163.72312927246094,72.1922607421875,1500,500,7.0
5,42,70.0,68.77336120605469,70.14855194091797,252.68923950195312,81.99103546142578,1500,500,8.0
5,42,70.0,70.21698760986328,74.89875030517578,331.4420471191406,80.46056365966797,1500,500,9.0
5,42,70.0,83.32398986816406,77.96244049072266,439.1118469238281,91.4185562133789,1500,500,10.0
5,169,70.0,68.7298355102539,69.8319091796875,47.8945426940918,66.94633483886719,1500,500,1.0
5,169,70.0,69.9593505859375,69.95484924316406,58.10869598388672,69.9057388305664,1500,500,2.0
5,169,70.0,69.9754867553711,69.93303680419922,66.52597045898438,69.88766479492188,1500,500,3.0
5,169,70.0,70.02172088623047,69.75577545166016,82.84195709228516,70.00749206542969,1500,500,4.0
5,169,70.0,61.273902893066406,67.29724884033203,112.57439422607422,72.04015350341797,1500,500,5.0
5,169,70.0,62.67107391357422,54.10514450073242,161.9226531982422,71.6844253540039,1500,500,6.0
5,169,70.0,65.97569274902344,66.40690612792969,186.61135864257807,74.99942779541016,1500,500,7.0
5,169,70.0,76.89986419677734,65.11861419677734,237.06546020507807,80.1054916381836,1500,500,8.0
5,169,70.0,69.331787109375,75.29725646972656,318.7467041015625,76.70698547363281,1500,500,9.0
5,169,70.0,77.80775451660156,74.00557708740234,462.3016052246094,80.8828353881836,1500,500,10.0
