,used_mean,dim,seed,true_val,NSE_diff,NSE_grad,CF_on,NCV_on,Epochs,n_samples
0,1.0,0.0,65.90295896240168,0.0,0.2289926315060666,0.06690542887586141,0.9051746879659802,0.694354416664819,0.0,0.0
1,2.0,0.0,65.90295896240168,0.0,0.1278435414542145,0.007008224110543988,0.9065458597212319,1.0814969690288136,0.0,0.0
2,3.0,0.0,65.90295896240168,0.0,0.032824360387070164,0.08787811133920262,0.6293281440953102,0.6453246977768307,0.0,0.0
3,4.0,0.0,65.90295896240168,0.0,0.8269593642848141,0.05527125702220053,0.9116050552760209,2.0146645775930554,0.0,0.0
4,5.0,0.0,65.90295896240168,0.0,3.8081013187938346,4.9333029996392055,3.8939154412552113,3.9880007991708264,0.0,0.0
5,6.0,0.0,65.90295896240168,0.0,2.413819812087216,1.2543708622357097,2.824171723864462,1.9605818274708662,0.0,0.0
6,7.0,0.0,65.90295896240168,0.0,4.015588776605327,3.4818331277195864,16.187955921224777,24.270897659743195,0.0,0.0
7,8.0,0.0,65.90295896240168,0.0,7.606335575004388,2.9728503478220163,8.85566141803577,6.367269175516111,0.0,0.0
8,9.0,0.0,65.90295896240168,0.0,3.7535197640139724,0.5753181575737166,9.651917820052335,4.834505948654357,0.0,0.0
9,10.0,0.0,65.90295896240168,0.0,8.160175882991684,10.306163975299421,15.664613917210378,1.353292878305461,0.0,0.0
