dim,seed,true_val,NSE_diff,NSE_grad,CF_on,NCV_on,Epochs,n_samples,used_mean
5,13,70.0,69.15289306640625,69.8587875366211,49.49602508544922,31.611480712890625,1500,500,1.0
5,13,70.0,69.94548797607422,69.96659851074219,60.00447082519531,45.17237854003906,1500,500,2.0
5,13,70.0,69.93230438232422,69.72346496582031,67.45858764648438,70.12501525878906,1500,500,3.0
5,13,70.0,68.3050308227539,69.7359848022461,81.12040710449219,106.10011291503906,1500,500,4.0
5,13,70.0,68.0165786743164,62.950321197509766,108.93534088134766,143.9416961669922,1500,500,5.0
5,13,70.0,64.86270141601562,54.61103439331055,159.67481994628906,199.82144165039065,1500,500,6.0
5,13,70.0,73.35384368896484,57.20425415039063,170.9572296142578,269.73858642578125,1500,500,7.0
5,13,70.0,76.34416198730469,66.30467224121094,237.7369842529297,338.6301574707031,1500,500,8.0
5,13,70.0,67.94274139404297,74.29627990722656,347.05126953125,434.7600402832031,1500,500,9.0
5,13,70.0,70.30787658691406,100.69178771972656,427.742431640625,526.28125,1500,500,10.0
5,23,70.0,69.30762481689453,69.96994018554688,50.235347747802734,30.50905036926269,1500,500,1.0
5,23,70.0,69.71843719482422,69.96873474121094,59.055450439453125,46.862525939941406,1500,500,2.0
5,23,70.0,69.98861694335938,69.88826751708984,65.790283203125,68.87223815917969,1500,500,3.0
5,23,70.0,70.0516128540039,69.80171966552734,81.27386474609375,101.93367004394533,1500,500,4.0
5,23,70.0,62.24649429321289,57.83811950683594,108.31005096435548,144.02874755859375,1500,500,5.0
5,23,70.0,59.9896354675293,55.16153335571289,158.57632446289062,197.4923553466797,1500,500,6.0
5,23,70.0,73.4421157836914,59.060543060302734,156.8263397216797,268.5840148925781,1500,500,7.0
5,23,70.0,61.16796112060547,61.89558792114258,230.14352416992188,352.9964599609375,1500,500,8.0
5,23,70.0,77.04657745361328,74.38388061523438,331.6629638671875,422.9750061035156,1500,500,9.0
5,23,70.0,83.58478546142578,81.99628448486328,457.8484497070313,528.61376953125,1500,500,10.0
5,42,70.0,69.08914184570312,69.7889404296875,48.49007415771485,29.694618225097656,1500,500,1.0
5,42,70.0,70.07029724121094,69.97396850585938,58.09004974365234,45.85310745239258,1500,500,2.0
5,42,70.0,69.95328521728516,69.92228698730469,67.08219146728516,70.60789489746094,1500,500,3.0
5,42,70.0,68.96084594726562,69.77753448486328,80.40972137451172,104.39576721191406,1500,500,4.0
5,42,70.0,59.28598403930664,63.55045318603516,115.747802734375,139.8590087890625,1500,500,5.0
5,42,70.0,61.65278625488281,51.91572952270508,163.79135131835938,200.1579132080078,1500,500,6.0
5,42,70.0,65.5308609008789,60.37621688842773,164.33059692382812,264.84356689453125,1500,500,7.0
5,42,70.0,68.77336120605469,70.14855194091797,253.7425994873047,336.7248229980469,1500,500,8.0
5,42,70.0,70.21698760986328,74.89875030517578,332.198486328125,427.98626708984375,1500,500,9.0
5,42,70.0,83.32398986816406,77.96244049072266,437.933837890625,526.7254028320312,1500,500,10.0
5,17,70.0,69.26460266113281,69.86106872558594,49.07636642456055,30.34269142150879,1500,500,1.0
5,17,70.0,69.92635345458984,69.96703338623047,57.84215545654297,44.2347297668457,1500,500,2.0
5,17,70.0,69.90694427490234,69.92174530029297,66.798095703125,69.6510009765625,1500,500,3.0
5,17,70.0,70.16358184814453,69.87853240966797,81.56859588623047,102.18103790283205,1500,500,4.0
5,17,70.0,67.15626525878906,54.84939956665039,116.95208740234376,149.16384887695312,1500,500,5.0
5,17,70.0,58.61226272583008,54.48067855834961,165.41175842285156,202.754150390625,1500,500,6.0
5,17,70.0,66.8471908569336,59.68590927124024,142.94140625,216.2550048828125,1500,500,7.0
5,17,70.0,61.6724739074707,65.07952117919922,235.5411834716797,344.29119873046875,1500,500,8.0
5,17,70.0,74.11865997314453,75.63164520263672,329.2894592285156,429.1314697265625,1500,500,9.0
5,17,70.0,92.44461059570312,80.84703826904297,430.0065307617188,526.8585205078125,1500,500,10.0
5,169,70.0,68.7298355102539,69.8319091796875,47.883766174316406,30.71933364868164,1500,500,1.0
5,169,70.0,69.9593505859375,69.95484924316406,58.0766487121582,46.64474487304688,1500,500,2.0
5,169,70.0,69.9754867553711,69.93303680419922,66.52594757080078,69.9918441772461,1500,500,3.0
5,169,70.0,70.02172088623047,69.75577545166016,82.89508056640625,106.04342651367188,1500,500,4.0
5,169,70.0,61.273902893066406,67.29724884033203,112.64158630371094,149.25405883789062,1500,500,5.0
5,169,70.0,62.67107391357422,54.10514450073242,161.82496643066406,198.70654296875,1500,500,6.0
5,169,70.0,65.97569274902344,66.40690612792969,186.47735595703125,275.9671325683594,1500,500,7.0
5,169,70.0,76.89986419677734,65.11861419677734,236.86985778808597,341.5016174316406,1500,500,8.0
5,169,70.0,69.331787109375,75.29725646972656,320.2257080078125,423.3169860839844,1500,500,9.0
5,169,70.0,77.80775451660156,74.00557708740234,461.2691650390625,529.4019165039062,1500,500,10.0
